Protein,Trend,State_0,State_1,State_2,State_3,State_4
ULBP2,"0-2 Increasing, 3-4 Decreasing",0.0,0.40779903743836676,0.5037223268291228,1.0,0.884560974205532
UBAC1,"0-2 Increasing, 3-4 Decreasing",0.0,0.08084840408852909,0.6950838667130146,1.0,0.5000361499995827
TYRO3,Gradually Increasing,0.0,0.6660854094325384,0.6966857608213818,0.6872732211544451,1.0
TYRO3,Fluctuating,0.0,0.6660854094325384,0.6966857608213818,0.6872732211544451,1.0
TYMP,"0-2 Increasing, 3-4 Decreasing",0.0,0.5837746137019041,0.8096171386557421,1.0,0.9066157152857895
VAMP5,Gradually Increasing,0.0,0.56228002436861,0.7358210141846933,1.0,0.990420860152956
VAMP5,"0-2 Increasing, 3-4 Decreasing",0.0,0.56228002436861,0.7358210141846933,1.0,0.990420860152956
VCAN,"0-2 Decreasing, 3-4 Increasing",1.0,0.45858481754060687,0.41695432218894846,0.0,0.4086623561581024
VCAM1,Fluctuating,0.0,0.3123975231141202,0.28381330318738435,1.0,0.9714463476650204
VAT1,Fluctuating,0.4751538679906372,0.8931036782483863,1.0,0.15262230742504942,0.0
VASN,Gradually Increasing,0.0,0.6539168365177791,0.7504413462492943,0.8575051707041728,1.0
VASN,Fluctuating,0.0,0.6539168365177791,0.7504413462492943,0.8575051707041728,1.0
VASH1,Fluctuating,0.0,0.9974516784993998,0.994403903396726,0.8050326867800496,1.0
UXS1,Fluctuating,0.3868125428329286,0.20653542298467695,0.0,1.0,0.14802606547684427
USP8,"0-2 Increasing, 3-4 Decreasing",0.0,0.7886035325218359,0.8985413132056593,1.0,0.7024902629588203
USO1,Fluctuating,0.0,0.7304823046559643,1.0,0.83236390053775,0.5507978946122356
TXNRD1,"0-2 Increasing, 3-4 Decreasing",0.0,0.5051388708640435,0.8460139876559283,1.0,0.9013230322248099
DUOX2,Fluctuating,0.8034303153851121,1.0,0.3851066031219268,0.0,0.7090518942897398
DSG2,Fluctuating,1.0,0.3184555853709488,0.0,0.521141266110246,0.8275804832136906
DSG3,Fluctuating,0.8771389054872544,1.0,0.6157831797129427,0.0,0.16028098204284286
DSG4,Gradually Decreasing,1.0,0.652517837249835,0.5234127485320236,0.1172295326371987,0.0
DTX3,Fluctuating,0.0,0.6772528448398819,0.9602787810486115,0.8984305933145031,1.0
DSC2,Gradually Increasing,0.0,0.34314300958385996,0.4376551826267126,0.9261053038431333,1.0
DSC2,Fluctuating,0.0,0.34314300958385996,0.4376551826267126,0.9261053038431333,1.0
DUSP3,Fluctuating,0.7698083776889633,1.0,0.8336282484356049,0.7324101377928827,0.0
DPEP1,Fluctuating,1.0,0.22137650503553016,0.0,0.37583377888992825,0.2660568484306106
DNMBP,"0-2 Increasing, 3-4 Decreasing",0.0,0.6743503395123455,0.874604610083706,1.0,0.8186302103767106
DNPH1,Fluctuating,0.0,0.40150718145704056,1.0,0.9120013690518454,0.7129463239237521
DOK2,Fluctuating,0.0,0.8094199837551641,1.0,0.9114745343851026,0.5996746862657817
DRG2,Fluctuating,0.14579750773282818,0.7354730024932395,1.0,0.7752577331918182,0.0
DPEP2,Fluctuating,0.0,0.1766765055928742,0.34160932384260906,0.15766103077961738,1.0
DPP10,Fluctuating,0.2020136167794977,0.0,0.2633947969074805,0.7202533004298309,1.0
DPP4,Fluctuating,0.0,0.7061923028191817,1.0,0.6152787089296448,0.8312587807642242
DPP6,Fluctuating,0.24566650917531188,0.0,0.012160029896068321,0.7407364409636035,1.0
DPP7,"0-2 Increasing, 3-4 Decreasing",0.0,0.30034328908740743,0.5485274349636948,1.0,0.9110746521672952
DPT,Gradually Increasing,0.0,0.7747329388803,0.9069857865193135,0.9022770925931303,1.0
DPT,Fluctuating,0.0,0.7747329388803,0.9069857865193135,0.9022770925931303,1.0
DPY30,"0-2 Increasing, 3-4 Decreasing",0.0,0.6344770599169266,0.8611785801010898,1.0,0.9797548713903678
DRAXIN,Gradually Increasing,0.0,0.4282988129984836,0.5550654920465458,0.6207490286252326,1.0
DRAXIN,Fluctuating,0.0,0.4282988129984836,0.5550654920465458,0.6207490286252326,1.0
EBAG9,Fluctuating,0.0,0.7801296664454399,1.0,0.970771032465695,0.8615256315306019
XG,Fluctuating,0.0,0.816322258542997,0.9642254144141547,0.6797264248302993,1.0
YES1,"0-2 Increasing, 3-4 Decreasing",0.0,0.8012735905953113,0.9821290443640852,1.0,0.5858757672992381
XRCC4,Fluctuating,0.0,0.8654032206569671,1.0,0.9618673367051486,0.7642954373780869
XPNPEP2,Gradually Decreasing,1.0,0.8031357140688921,0.7734501829672878,0.07056332863383602,0.0
XCL1,"0-2 Increasing, 3-4 Decreasing",0.0,0.5863906129717944,0.703726443109752,1.0,0.9848339668800413
WWP2,Fluctuating,0.0,0.7096276513706968,1.0,0.6510710956930723,0.3873653678461933
WNT9A,Gradually Increasing,0.0,0.25375429137378763,0.36598625235002746,0.7001074212895583,1.0
WNT9A,Fluctuating,0.0,0.25375429137378763,0.36598625235002746,0.7001074212895583,1.0
WIF1,Gradually Decreasing,1.0,0.7200713904795181,0.6374713801331459,0.006779176678625109,0.0
WFIKKN2,Fluctuating,1.0,0.09133599198608125,0.0,0.0250406605889389,0.4081174995620666
WFIKKN1,Fluctuating,0.5640401587901571,1.0,0.8462886555076172,0.3579258635542825,0.0
WFDC2,Gradually Increasing,0.0,0.2215195599944437,0.4614698786904031,0.8202142093040686,1.0
WFDC2,Fluctuating,0.0,0.2215195599944437,0.4614698786904031,0.8202142093040686,1.0
WFDC12,"0-2 Increasing, 3-4 Decreasing",0.0,0.8081849202242418,0.9092609839591598,1.0,0.8852141921483373
YTHDF3,Fluctuating,0.0,0.8461307435093854,1.0,0.777588238965534,0.6540300331277854
EBI3_IL27,Fluctuating,0.0,0.08341797777536751,0.07198527206767567,0.7422875534296766,1.0
ECE1,Fluctuating,0.0,0.6194422711803974,0.5976328657292816,0.3715658557662664,1.0
ZBTB17,"0-2 Increasing, 3-4 Decreasing",0.0,0.595415604774977,0.908463941464927,1.0,0.9768614086600416
ZBTB16,"0-2 Increasing, 3-4 Decreasing",0.0,0.6118821721293928,0.8681588695415481,1.0,0.13735831921867553
TMSB10,Fluctuating,0.0,0.7742103467469066,1.0,0.9672711850708442,0.9015376758478041
TMPRSS5,Fluctuating,0.8772168832136122,0.012004594579128062,0.09198386243944874,0.0,1.0
TMPRSS15,Gradually Increasing,0.0,0.22153933025085054,0.4552709690955353,0.906915637909337,1.0
TMPRSS15,Fluctuating,0.0,0.22153933025085054,0.4552709690955353,0.906915637909337,1.0
TNF,Gradually Increasing,0.0,0.4990838500421801,0.6799210927989214,0.9088122231541965,1.0
TNF,Fluctuating,0.0,0.4990838500421801,0.6799210927989214,0.9088122231541965,1.0
TLR3,Gradually Increasing,0.0,0.2748499012231802,0.47240716515684883,0.7668705198515888,1.0
TLR3,Fluctuating,0.0,0.2748499012231802,0.47240716515684883,0.7668705198515888,1.0
TNC,"0-2 Decreasing, 3-4 Increasing",1.0,0.8198808241793203,0.5283009592933111,0.0,0.287647179670524
TNFRSF6B,Gradually Increasing,0.0,0.4975639670794341,0.6953792978914535,0.8691684171800108,1.0
TNFRSF6B,Fluctuating,0.0,0.4975639670794341,0.6953792978914535,0.8691684171800108,1.0
TNFRSF13B,Gradually Increasing,0.0,0.4408784931357402,0.6607911287007032,0.785647494450073,1.0
TNFRSF13B,Fluctuating,0.0,0.4408784931357402,0.6607911287007032,0.785647494450073,1.0
TNFRSF4,Gradually Increasing,0.0,0.5023819950846246,0.5937817610276519,0.9432331861235238,1.0
TNFRSF4,Fluctuating,0.0,0.5023819950846246,0.5937817610276519,0.9432331861235238,1.0
TNFRSF21,Gradually Increasing,0.0,0.5643353450274727,0.65307863386992,0.8905177794274317,1.0
TNFRSF21,Fluctuating,0.0,0.5643353450274727,0.65307863386992,0.8905177794274317,1.0
TNFRSF1B,Gradually Increasing,0.0,0.4604897635237252,0.6182047904132411,0.9124159985333209,1.0
TNFRSF1B,Fluctuating,0.0,0.4604897635237252,0.6182047904132411,0.9124159985333209,1.0
TNFRSF1A,Gradually Increasing,0.0,0.5033012005115384,0.657493014961611,0.944868605802291,1.0
